name,db_id,industry,chairman,secretary,address,market,lat,lon,street
Glencairn ?,44135,MISCELLANEOUS,P.H. Evans.,S. Horringe. [S],"8 Gracechurch street, E.C.","London, Liverpl.",51.512548,-0.08234000000000001,Gracechurch street
Smedley's Hyd. (Matlock) L.,48873,MISCELLANEOUS,L.T. M. Mason.,P. C. Edwards.,"5 St Peter's alley, Cornhill, E.C.",London.,51.5135,-0.083,Cornhill
"Scottsh Austrln Invstmt, L.",48467,MISCELLANEOUS,W. Bird.,D. Maclean.,"69 Cornhill, E.C.",London.*,51.5135,-0.083,Cornhill
"Walker, Parker, & Co., L., 6 % Cumulative Pref",50197,MISCELLANEOUS,W. W. Weaker.,,"93 Gracechurch street, E.C., and J. Barrett Lennard.",,51.513058,-0.08064,Gracechurch street
Jubilee ?,45081,MISCELLANEOUS,K. Hopkins.,"E. Habben, S.","7, Winder; 3 and 5 Gracechurch streets, E.C.",London.,51.512530000000005,-0.0824,Gracechurch street
Durban-Roodepoort ?,43363,MISCELLANEOUS,R. A. Poultice.,"J. W. Hutton, S.","62 Gracechurch street, E.C.",,51.512872,-0.08126,Gracechurch street
"Pestarena United Gold, Limited",47618,MISCELLANEOUS,J. Higson.,"W. Whitaker, S.","86 King street, Manchester.","London, Mancstr.",51.514516,-0.09328,King street
Day Dawn,43078,MISCELLANEOUS,G. Hopkins.,"J. Winser, S.","5 Gracechurch street, E.C.",,51.512530000000005,-0.0824,Gracechurch street
Nundydroog,47166,MISCELLANEOUS,J.E.D.D.Hartland.,"J. E. Dawson, S.","4 Devonshire chambers, Bishopsgate st., Without.",London.,51.5155,-0.0815,Bishopsgate st
"West Bassett, (Illogan)",50384,MISCELLANEOUS,"Agents, Baring Bros. and Co., S.",,8 Bishopsgate street Within.,London.,51.515548,-0.08134000000000001,Bishopsgate street
"Fore Street Warehouse, Lim.",43839,MISCELLANEOUS,E. H. Faviell.,"W. Garduer, S.","45 Leadenhall street, E.C.",London.,51.51277,-0.0791,Leadenhall street
