date,security,price,source,file,kind
1801-01-24,Manhattan Bank stock,124.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-24,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-24,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,8%,105.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,US Bank Stock,134.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,US Bank Stock,133.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-31,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-31,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-31,NY ins. shares,102.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-31,Manhattan Bank stock,123.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,NY ins. shares,102.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-07,Manhattan Bank stock,123.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-07,8%,106.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-07,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,US Bank Stock,132.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-07,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-07,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,US Bank Stock,131.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-14,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-14,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,NY ins. shares,105.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-14,Manhattan Bank stock,123.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-14,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,US Bank Stock,131.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,8%,106.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,Manhattan Bank stock,123.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,navy 6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-28,8%,106.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-28,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-28,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,United Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,US Bank Stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-28,NY ins. shares,108.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,6%,88.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-28,Manhattan Bank stock,122.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-28,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-07,navy 6%,88.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-07,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-07,6%,87.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-07,Manhattan Bank stock,120.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-07,NY ins. shares,107.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-07,United Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-07,8%,106.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-14,navy 6%,88.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-14,NY ins. shares,107.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-14,6%,87.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-14,8%,106.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-14,Manhattan Bank stock,121.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-14,United Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-14,US Bank Stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-14,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-14,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-21,3%,54.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-21,US Bank Stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-21,navy 6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-21,8%,107.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-21,NY ins. shares,108.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-21,United Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-21,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-21,6%,88.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-21,Manhattan Bank stock,122.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-21,Columbian Ins. Shares,112.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-28,navy 6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-28,6%,87.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-28,NY ins. shares,108.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-28,Columbian Ins. Shares,117.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-28,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-28,Manhattan Bank stock,125.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-28,United Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-03-28,8%,105.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-03-28,US Bank Stock,131.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-03-28,3%,53.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-04,navy 6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-04,Columbian Ins. Shares,117.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-04,Manhattan Bank stock,125.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-04,6%,87.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-04,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-04,8%,106.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-04,NY ins. shares,109.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-04,3%,53.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-04,US Bank Stock,131.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-11,8%,106.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-11,US Bank Stock,131.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-11,6%,87.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-11,Columbian Ins. Shares,117.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-11,NY ins. shares,109.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-11,Manhattan Bank stock,124.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-11,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-11,United Ins. Shares,105.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-11,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-11,3%,53.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-18,3%,52.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-18,6%,88.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-18,Columbian Ins. Shares,117.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-18,US Bank Stock,132.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-18,Manhattan Bank stock,124.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-18,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-18,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-18,8%,107.0,NY Price Current,New York Price Current 1800-1817.xls,Government
